,room,blockDate,block_status
0,BH JRI 02,2023-07-01,False
1,BH JRI 03,2023-07-01,False
2,BH JRI 04,2023-07-01,False
3,BH JRI 05,2023-07-01,False
4,BH JRI 06,2023-07-01,False
5,BH JRI 07,2023-07-01,False
6,BH JRI 08,2023-07-01,False
7,BH JRI 09,2023-07-01,False
8,STM ST OR 01,2023-07-01,False
9,STM ST OR 02,2023-07-01,False
10,STM ST OR 03,2023-07-01,False
11,STM ST OR 04,2023-07-01,False
12,STM ST OR 05,2023-07-01,False
13,STM ST OR 06,2023-07-01,False
14,STM ST OR 07,2023-07-01,False
15,STM ST OR 08,2023-07-01,False
16,STM ST OR 09,2023-07-01,False
17,STM ST OR 10,2023-07-01,False
18,STM ST OR 11,2023-07-01,False
19,STM ST OR 12,2023-07-01,False
20,STM ST OR 14,2023-07-01,False
21,STM ST OR 15,2023-07-01,False
22,STM ST OR 16,2023-07-01,False
23,STM ST OR 17,2023-07-01,False
24,STM ST OR 18,2023-07-01,False
25,STM ST OR Hybrid,2023-07-01,False
26,MT Cysto,2023-07-01,False
27,MT OR 01,2023-07-01,False
28,MT OR 02,2023-07-01,False
29,MT OR 03,2023-07-01,False
30,MT OR 04,2023-07-01,False
31,MT OR 05,2023-07-01,False
32,MT OR 06,2023-07-01,False
33,MT OR 07,2023-07-01,False
34,MT OR 08,2023-07-01,False
35,MT OR 09,2023-07-01,False
36,MT OR 10,2023-07-01,False
37,MT OR 11,2023-07-01,False
38,MT OR 12,2023-07-01,False
39,MT OR 14,2023-07-01,False
40,MT OR 15,2023-07-01,False
41,MT OR 16,2023-07-01,False
42,MT OR 17,2023-07-01,False
43,BH JRI 02,2023-07-02,False
44,BH JRI 03,2023-07-02,False
45,BH JRI 04,2023-07-02,False
46,BH JRI 05,2023-07-02,False
47,BH JRI 06,2023-07-02,False
48,BH JRI 07,2023-07-02,False
49,BH JRI 08,2023-07-02,False
50,BH JRI 09,2023-07-02,False
51,STM ST OR 01,2023-07-02,False
52,STM ST OR 02,2023-07-02,False
53,STM ST OR 03,2023-07-02,False
54,STM ST OR 04,2023-07-02,False
55,STM ST OR 05,2023-07-02,False
56,STM ST OR 06,2023-07-02,False
57,STM ST OR 07,2023-07-02,False
58,STM ST OR 08,2023-07-02,False
59,STM ST OR 09,2023-07-02,False
60,STM ST OR 10,2023-07-02,False
61,STM ST OR 11,2023-07-02,False
62,STM ST OR 12,2023-07-02,False
63,STM ST OR 14,2023-07-02,False
64,STM ST OR 15,2023-07-02,False
65,STM ST OR 16,2023-07-02,False
66,STM ST OR 17,2023-07-02,False
67,STM ST OR 18,2023-07-02,False
68,STM ST OR Hybrid,2023-07-02,False
69,MT Cysto,2023-07-02,False
70,MT OR 01,2023-07-02,False
71,MT OR 02,2023-07-02,False
72,MT OR 03,2023-07-02,False
73,MT OR 04,2023-07-02,False
74,MT OR 05,2023-07-02,False
75,MT OR 06,2023-07-02,False
76,MT OR 07,2023-07-02,False
77,MT OR 08,2023-07-02,False
78,MT OR 09,2023-07-02,False
79,MT OR 10,2023-07-02,False
80,MT OR 11,2023-07-02,False
81,MT OR 12,2023-07-02,False
82,MT OR 14,2023-07-02,False
83,MT OR 15,2023-07-02,False
84,MT OR 16,2023-07-02,False
85,MT OR 17,2023-07-02,False
86,BH JRI 02,2023-07-03,False
87,BH JRI 03,2023-07-03,False
88,BH JRI 04,2023-07-03,False
89,BH JRI 05,2023-07-03,False
90,BH JRI 06,2023-07-03,False
91,BH JRI 07,2023-07-03,False
92,BH JRI 08,2023-07-03,False
93,BH JRI 09,2023-07-03,False
94,STM ST OR 01,2023-07-03,False
95,STM ST OR 02,2023-07-03,False
96,STM ST OR 03,2023-07-03,False
97,STM ST OR 04,2023-07-03,False
98,STM ST OR 05,2023-07-03,False
99,STM ST OR 06,2023-07-03,False
100,STM ST OR 07,2023-07-03,False
101,STM ST OR 08,2023-07-03,False
102,STM ST OR 09,2023-07-03,False
103,STM ST OR 10,2023-07-03,False
104,STM ST OR 11,2023-07-03,False
105,STM ST OR 12,2023-07-03,False
106,STM ST OR 14,2023-07-03,False
107,STM ST OR 15,2023-07-03,False
108,STM ST OR 16,2023-07-03,False
109,STM ST OR 17,2023-07-03,False
110,STM ST OR 18,2023-07-03,False
111,STM ST OR Hybrid,2023-07-03,False
112,MT Cysto,2023-07-03,False
113,MT OR 01,2023-07-03,False
114,MT OR 02,2023-07-03,False
115,MT OR 03,2023-07-03,False
116,MT OR 04,2023-07-03,False
117,MT OR 05,2023-07-03,False
118,MT OR 06,2023-07-03,False
119,MT OR 07,2023-07-03,False
120,MT OR 08,2023-07-03,False
121,MT OR 09,2023-07-03,False
122,MT OR 10,2023-07-03,False
123,MT OR 11,2023-07-03,False
124,MT OR 12,2023-07-03,False
125,MT OR 14,2023-07-03,False
126,MT OR 15,2023-07-03,False
127,MT OR 16,2023-07-03,False
128,MT OR 17,2023-07-03,False
129,BH JRI 02,2023-07-04,False
130,BH JRI 03,2023-07-04,False
131,BH JRI 04,2023-07-04,False
132,BH JRI 05,2023-07-04,False
