,candidateId,market,ministry,hospital,unit,room,flexId,blockName,releaseDays,type,dow,wom1,wom2,wom3,wom4,wom5,start_time,end_time,name,start_date,end_date,state,blockDate,releaseDate,releaseStatus,autorelease,manualRelease
454,4211591-245706973,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,3.0,2.0,4.0,-1.0,-1.0,-1.0,2023-05-26T08:00:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-30T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
565,4267844-268486404,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,3,2,4.0,-1.0,-1.0,-1.0,2023-05-26T08:00:00.000Z,2023-05-26T15:30:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
618,4270836-271201372,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 18,693009,OR ROBOT ALL STM ST OR,0.0,,3,2,-1.0,-1.0,-1.0,-1.0,2023-05-26T08:00:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-08T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
249,4268062-268951297,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
265,4268374-269166484,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
315,4268885-269460001,TENNESSEE,TNNAS,1137984,MT OR,MT OR 09,104005,OR ORTHO 1 MT,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-12,2023-07-12,False,False,False
491,4211595-245706977,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-27T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
559,4264087-266791147,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-03-26T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
576,4270519-270660251,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 15,693009,OR ROBOT ALL STM ST OR,0.0,,4,2,-1.0,-1.0,-1.0,-1.0,2023-05-26T12:00:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
354,4270191-270544144,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 17,693009,OR ROBOT ALL STM ST OR,0.0,,4.0,2.0,4.0,5.0,-1.0,-1.0,2023-05-26T12:00:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-08T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
34,4255769-262890172,TENNESSEE,TNNAS,1137984,MT OR,MT OR 01,438001,"OR Houck MD, Ward V MT OR",1.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-02-20T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-12,False,False,False
317,4269714-270091849,TENNESSEE,TNNAS,1137984,MT OR,MT OR 03,647009,OR MSS VASCULAR,1.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-04-26T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-12,False,False,False
253,4268306-269129423,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
256,4268378-269166671,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-13,False,False,False
325,4269828-270238370,TENNESSEE,TNNAS,1137984,MT OR,MT OR 17,683009,OR ORTHO TRAUMA STR,1.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T19:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-13,2023-07-12,False,False,False
461,4213483-246858103,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,5.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-28T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
560,4264053-266787385,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-03-26T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
601,4270562-271046566,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 16,693009,OR ROBOT ALL STM ST OR,0.0,,5,2,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-08T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
431,4270276-270550268,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 17,479003,OR STMP GYNONC STM,2.0,,5.0,2.0,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-12,False,False,False
382,4270295-270550846,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 18,693009,OR ROBOT ALL STM ST OR,0.0,,5,2,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
558,4264042-266759256,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR Hybrid,112065,OR Vascular 1 BH,2.0,,5.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-25T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-12,False,False,False
290,4268978-269468143,TENNESSEE,TNNAS,1137984,MT OR,MT OR 03,479001,"OR Bensley, Rodney Paul STR",1.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26T07:45:00.000Z,2023-05-26T13:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-13,False,False,False
314,4268988-269468574,TENNESSEE,TNNAS,1137984,MT OR,MT OR 04,104005,OR ORTHO 1 MT,0.0,,5.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
252,4268310-269129565,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
261,4268382-269166681,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-14,2023-07-14,False,False,False
