,ministry,slotId,startDtTm,endDtTm,blockDate
0,TNNAS,4189474-237925918,2022-09-08 13:00:00+00:00,2022-09-08 15:30:00+00:00,2022-09-08
1,TNNAS,4036150-191810552,2022-09-09 07:30:00+00:00,2022-09-09 15:30:00+00:00,2022-09-09
2,TNNAS,3972239-165417707,2022-09-07 07:30:00+00:00,2022-09-07 15:00:00+00:00,2022-09-07
3,TNNAS,3967865-162542625,2022-05-30 12:00:00+00:00,2022-05-30 15:00:00+00:00,2022-05-30
4,TNNAS,4091435-208899620,2022-04-25 08:00:00+00:00,2022-04-25 16:00:00+00:00,2022-04-25
5,TNNAS,4115594-214978331,2022-05-30 12:30:00+00:00,2022-05-30 15:30:00+00:00,2022-05-30
6,TNNAS,4091439-208908384,2022-04-25 08:00:00+00:00,2022-04-25 15:30:00+00:00,2022-04-25
7,TNNAS,4079341-206203593,2022-03-11 07:30:00+00:00,2022-03-11 10:00:00+00:00,2022-03-11
8,TNNAS,4079341-206203592,2022-03-11 10:00:00+00:00,2022-03-11 15:00:00+00:00,2022-03-11
9,TNNAS,4067021-203904616,2022-03-14 07:30:00+00:00,2022-03-14 17:00:00+00:00,2022-03-14
10,TNNAS,4046737-195107260,2022-03-14 07:30:00+00:00,2022-03-14 15:00:00+00:00,2022-03-14
11,TNNAS,3905892-134242042,2022-06-29 07:00:00+00:00,2022-06-29 15:00:00+00:00,2022-06-29
12,TNNAS,3688034-102991831,2022-06-30 07:30:00+00:00,2022-06-30 15:00:00+00:00,2022-06-30
13,TNNAS,4046957-195148678,2022-03-14 07:30:00+00:00,2022-03-14 15:30:00+00:00,2022-03-14
14,TNNAS,4046172-194321090,2022-06-29 07:30:00+00:00,2022-06-29 12:00:00+00:00,2022-06-29
15,TNNAS,4077260-205672898,2022-04-25 08:30:00+00:00,2022-04-25 12:30:00+00:00,2022-04-25
16,TNNAS,3905857-134182817,2022-06-28 08:00:00+00:00,2022-06-28 16:00:00+00:00,2022-06-28
17,TNNAS,4036227-191832804,2022-08-19 07:30:00+00:00,2022-08-19 12:00:00+00:00,2022-08-19
18,TNNAS,3956273-155054969,2022-03-09 08:00:00+00:00,2022-03-09 15:30:00+00:00,2022-03-09
19,TNNAS,4077102-205587800,2022-03-09 07:30:00+00:00,2022-03-09 15:00:00+00:00,2022-03-09
20,TNNAS,3959863-157152732,2022-08-02 07:30:00+00:00,2022-08-02 12:00:00+00:00,2022-08-02
21,TNNAS,3906047-134297807,2022-03-08 07:30:00+00:00,2022-03-08 12:00:00+00:00,2022-03-08
22,TNNAS,4046296-194386833,2022-05-30 08:00:00+00:00,2022-05-30 13:00:00+00:00,2022-05-30
23,TNNAS,3905741-134154723,2022-09-05 07:00:00+00:00,2022-09-05 15:00:00+00:00,2022-09-05
24,TNNAS,4155437-226701286,2022-09-05 07:00:00+00:00,2022-09-05 13:00:00+00:00,2022-09-05
25,TNNAS,4079440-206587773,2022-09-23 07:30:00+00:00,2022-09-23 17:00:00+00:00,2022-09-23
26,TNNAS,4079435-206584287,2022-09-23 07:30:00+00:00,2022-09-23 17:00:00+00:00,2022-09-23
27,TNNAS,4197450-240641336,2022-08-03 08:30:00+00:00,2022-08-03 16:00:00+00:00,2022-08-03
28,TNNAS,3965818-160018442,2022-08-03 08:00:00+00:00,2022-08-03 15:30:00+00:00,2022-08-03
29,TNNAS,4064862-201986709,2022-07-14 07:30:00+00:00,2022-07-14 09:30:00+00:00,2022-07-14
30,TNNAS,4079447-206584478,2022-07-01 07:30:00+00:00,2022-07-01 17:00:00+00:00,2022-07-01
31,TNNAS,4079440-206587773,2022-07-01 07:30:00+00:00,2022-07-01 17:00:00+00:00,2022-07-01
32,TNNAS,3939697-148722416,2022-07-14 07:30:00+00:00,2022-07-14 13:00:00+00:00,2022-07-14
33,TNNAS,4239633-256546453,2022-07-06 07:15:00+00:00,2022-07-06 17:00:00+00:00,2022-07-06
34,TNNAS,4067090-203907278,2022-09-23 12:00:00+00:00,2022-09-23 17:00:00+00:00,2022-09-23
35,TNNAS,3909269-136254202,2022-10-04 07:30:00+00:00,2022-10-04 15:00:00+00:00,2022-10-04
36,TNNAS,3885031-122645203,2022-10-05 07:30:00+00:00,2022-10-05 15:30:00+00:00,2022-10-05
37,TNNAS,4181878-234601456,2022-10-05 07:15:00+00:00,2022-10-05 15:00:00+00:00,2022-10-05
38,TNNAS,4185479-236809709,2022-07-06 07:30:00+00:00,2022-07-06 11:00:00+00:00,2022-07-06
39,TNNAS,3976261-167518935,2023-02-20 07:00:00+00:00,2023-02-20 16:00:00+00:00,2023-02-20
40,TNNAS,4163440-228129575,2022-09-05 08:00:00+00:00,2022-09-05 16:00:00+00:00,2022-09-05
41,TNNAS,4022123-186820291,2022-09-05 08:00:00+00:00,2022-09-05 12:30:00+00:00,2022-09-05
42,TNNAS,4107472-211975008,2022-09-05 13:00:00+00:00,2022-09-05 16:00:00+00:00,2022-09-05
43,TNNAS,3746121-107651633,2022-08-29 07:30:00+00:00,2022-08-29 16:30:00+00:00,2022-08-29
44,TNNAS,3746128-107652446,2022-08-29 07:30:00+00:00,2022-08-29 12:00:00+00:00,2022-08-29
45,TNNAS,4058517-199997928,2022-07-07 07:30:00+00:00,2022-07-07 15:00:00+00:00,2022-07-07
46,TNNAS,4163445-228130037,2022-09-05 08:00:00+00:00,2022-09-05 15:30:00+00:00,2022-09-05
47,TNNAS,3976266-167519193,2023-02-20 08:00:00+00:00,2023-02-20 17:00:00+00:00,2023-02-20
48,TNNAS,4077049-205464459,2023-03-13 07:30:00+00:00,2023-03-13 15:00:00+00:00,2023-03-13
49,TNNAS,3885031-122645203,2022-05-04 07:30:00+00:00,2022-05-04 15:30:00+00:00,2022-05-04
50,TNNAS,4067097-203907390,2022-08-18 07:30:00+00:00,2022-08-18 17:00:00+00:00,2022-08-18
51,TNNAS,3882006-122188858,2022-06-28 07:30:00+00:00,2022-06-28 15:30:00+00:00,2022-06-28
52,TNNAS,4151462-226354182,2022-09-05 08:00:00+00:00,2022-09-05 13:00:00+00:00,2022-09-05
53,TNNAS,4163569-228367059,2022-09-05 07:00:00+00:00,2022-09-05 12:00:00+00:00,2022-09-05
54,TNNAS,3905731-134153715,2022-09-05 08:00:00+00:00,2022-09-05 16:00:00+00:00,2022-09-05
55,TNNAS,4201578-242299484,2022-10-07 07:30:00+00:00,2022-10-07 17:00:00+00:00,2022-10-07
56,TNNAS,4183567-236288435,2022-10-07 07:15:00+00:00,2022-10-07 15:00:00+00:00,2022-10-07
57,TNNAS,4079440-206587773,2022-10-07 07:30:00+00:00,2022-10-07 17:00:00+00:00,2022-10-07
58,TNNAS,4067298-204069013,2022-08-18 12:00:00+00:00,2022-08-18 17:00:00+00:00,2022-08-18
59,TNNAS,4014116-183428988,2022-06-28 07:30:00+00:00,2022-06-28 12:00:00+00:00,2022-06-28
60,TNNAS,4079341-206203592,2022-03-18 10:00:00+00:00,2022-03-18 15:00:00+00:00,2022-03-18
61,TNNAS,4151462-226354181,2022-07-04 13:00:00+00:00,2022-07-04 16:00:00+00:00,2022-07-04
62,TNNAS,4077317-205732488,2022-05-04 07:30:00+00:00,2022-05-04 17:00:00+00:00,2022-05-04
63,TNNAS,4000014-178012414,2022-03-23 12:30:00+00:00,2022-03-23 16:30:00+00:00,2022-03-23
64,TNNAS,4046208-194326321,2022-09-21 12:30:00+00:00,2022-09-21 17:00:00+00:00,2022-09-21
65,TNNAS,4077286-205730141,2022-09-21 12:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-21
66,TNNAS,3963927-159258443,2022-09-21 09:00:00+00:00,2022-09-21 16:00:00+00:00,2022-09-21
67,TNNAS,4209772-245100267,2022-10-14 07:30:00+00:00,2022-10-14 15:00:00+00:00,2022-10-14
68,TNNAS,4000014-178012414,2022-05-04 12:30:00+00:00,2022-05-04 16:30:00+00:00,2022-05-04
69,TNNAS,4046201-194325706,2022-02-16 13:00:00+00:00,2022-02-16 17:00:00+00:00,2022-02-16
70,TNNAS,4077040-205458448,2022-02-21 07:30:00+00:00,2022-02-21 15:30:00+00:00,2022-02-21
71,TNNAS,4079391-206392157,2022-04-08 08:00:00+00:00,2022-04-08 12:00:00+00:00,2022-04-08
72,TNNAS,4024235-187670395,2022-04-08 07:30:00+00:00,2022-04-08 12:00:00+00:00,2022-04-08
73,TNNAS,3895345-126754633,2022-04-08 09:00:00+00:00,2022-04-08 15:30:00+00:00,2022-04-08
74,TNNAS,4107481-211990032,2022-05-23 07:00:00+00:00,2022-05-23 13:00:00+00:00,2022-05-23
75,TNNAS,4012124-183166015,2022-03-15 07:30:00+00:00,2022-03-15 15:30:00+00:00,2022-03-15
76,TNNAS,4036177-191820098,2022-02-15 07:30:00+00:00,2022-02-15 15:30:00+00:00,2022-02-15
77,TNNAS,4165453-228714468,2022-04-04 07:30:00+00:00,2022-04-04 15:30:00+00:00,2022-04-04
78,TNNAS,3956273-155054969,2022-03-30 08:00:00+00:00,2022-03-30 15:30:00+00:00,2022-03-30
79,TNNAS,4030244-190125272,2022-03-31 07:30:00+00:00,2022-03-31 12:00:00+00:00,2022-03-31
80,TNNAS,4181485-234493726,2022-05-23 07:15:00+00:00,2022-05-23 15:00:00+00:00,2022-05-23
81,TNNAS,3810035-113070096,2022-02-14 13:00:00+00:00,2022-02-14 17:00:00+00:00,2022-02-14
82,TNNAS,4165465-228717690,2022-10-17 07:30:00+00:00,2022-10-17 17:00:00+00:00,2022-10-17
83,TNNAS,4000352-178592122,2022-02-22 07:30:00+00:00,2022-02-22 12:00:00+00:00,2022-02-22
84,TNNAS,4012138-183167217,2022-03-15 07:30:00+00:00,2022-03-15 15:30:00+00:00,2022-03-15
85,TNNAS,4046208-194326321,2022-02-16 12:30:00+00:00,2022-02-16 17:00:00+00:00,2022-02-16
86,TNNAS,3999865-177906824,2022-04-01 07:30:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01
87,TNNAS,4067055-203905719,2022-03-15 08:30:00+00:00,2022-03-15 17:00:00+00:00,2022-03-15
88,TNNAS,4165453-228714468,2022-08-29 07:30:00+00:00,2022-08-29 15:30:00+00:00,2022-08-29
89,TNNAS,3810025-113068884,2022-08-29 07:00:00+00:00,2022-08-29 12:00:00+00:00,2022-08-29
90,TNNAS,3961913-158253531,2022-04-04 07:30:00+00:00,2022-04-04 12:00:00+00:00,2022-04-04
91,TNNAS,4077021-205443026,2022-04-04 07:30:00+00:00,2022-04-04 15:30:00+00:00,2022-04-04
92,TNNAS,4077027-205443287,2022-04-06 07:30:00+00:00,2022-04-06 15:30:00+00:00,2022-04-06
93,TNNAS,3956273-155054969,2022-04-06 08:00:00+00:00,2022-04-06 15:30:00+00:00,2022-04-06
94,TNNAS,4000014-178012414,2022-04-06 12:30:00+00:00,2022-04-06 16:30:00+00:00,2022-04-06
