,candidateId,market,ministry,hospital,unit,room,name,releaseDays,type,dow,wom1,wom2,wom3,wom4,wom5,start_time,end_time,start_date,end_date,state,blockDate,releaseDate,releaseStatus,autorelease,manualRelease
6,4269586-269785396,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 04,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
5,4269590-269785552,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 05,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
4,4269594-269785562,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 06,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
7,4269598-269785667,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 07,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
2,4269606-269786068,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 08,CLOSED- DO NOT BOOK,0.0,,5,1,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
3,4269614-269786393,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 09,CLOSED- DO NOT BOOK,0.0,,5,1,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-07,2023-07-07,False,False,False
0,4269506-269574059,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 02,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
1,4269510-269574662,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 03,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
6,4269586-269785396,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 04,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
5,4269590-269785552,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 05,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
4,4269594-269785562,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 06,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
7,4269598-269785667,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 07,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-14,2023-07-14,False,False,False
0,4269506-269574059,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 02,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
1,4269510-269574662,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 03,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
6,4269586-269785396,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 04,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
5,4269590-269785552,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 05,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
4,4269594-269785562,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 06,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
7,4269598-269785667,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 07,CLOSED- DO NOT BOOK,0.0,,5,1,2.0,3.0,4.0,5.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
2,4269606-269786068,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 08,CLOSED- DO NOT BOOK,0.0,,5,1,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
3,4269614-269786393,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 09,CLOSED- DO NOT BOOK,0.0,,5,1,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-21,2023-07-21,False,False,False
0,4269506-269574059,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 02,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-28,2023-07-28,False,False,False
1,4269510-269574662,TENNESSEE,TNNAS,592210,BH JRI,BH JRI 03,CLOSED- DO NOT BOOK,0.0,,5,2,3.0,4.0,5.0,-1.0,2023-05-26 07:30:00+00:00,2023-05-26 17:00:00+00:00,2023-04-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,ACTIVE,2023-07-28,2023-07-28,False,False,False
